№	Общее название	Code	ОТП		Альфа		Почта	
40	Гостиницы	HOTELS	Hotel	Гостиницы	ACCOMODATION	Гостиницы	H	Туристический и гостиничный бизнес, общепит и рест
41	Подбор персонала	HR	Staff recruitment	Подбор персонала	OTHER	Другая сфера деятельности	Z	Прочее
42	Управляющая компания / коммунальные службы	BUSINESS_SERVICES	Business Services	Управляющая компания / коммунальные службы	OTHER	Другая сфера деятельности	O	ЖКХ, СМИ,реклама,культура,охрана, услуги для юр.и
43	Химия/Парфюмерия/Фармацевтика	CHEMISTRY	Chemistry/Perfumery/Pharmaceut	Химия/Парфюмерия/Фармацевтика	FOOD	Легкая и пищевая промышленность	D	Тяжелая, легкая, пищевая пром., химия, парфюмерия,
44	Коммунальное хоз-во/Дорожные службы	ROAD_SERVICE	Municipal economy/Road service	Коммунальное хоз-во/Дорожные службы	OTHER	Другая сфера деятельности	F	Строительство, производство стройматериалов, дорож
45	Такси	TAXI	Taxi	Такси	TRANSPORT	Транспорт	I	Транспорт, логистика, связь, информ.технологии, те
46	Доставка и курьерская служба	DELIVERY	Delivery service	Доставка и курьерская служба	TRANSPORT	Транспорт	I	Транспорт, логистика, связь, информ.технологии, те
47	Складское хозяйство	WAREHOUSE	Folding room	Складское хозяйство	OTHER	Другая сфера деятельности	Z	Прочее
48	Торговля	MARKET	Market, real estate	Торговля	WHOLESALE	Торговля оптовая	G	Торговля, ремонт и бытовое обслуживание
49	Обслуживание технических средств и торговля запчастям	MAINTANANCE	Vehicle Maintenance	Обслуживание технических средств и торговля запчастям	OTHER	Другая сфера деятельности	Z	Прочее
50	Посредническая деятельность	MIDDLEMAN	Others fields	Другие сферы	MIDLEMAN	Посредническая деятельность	Z	Прочее
51	Издательская деятельность	PUBLISHING	Others fields	Другие сферы	PUBLISHING	Издательская деятельность	Z	Прочее
52	Бытовые услуги	SERVICES	Others fields	Другие сферы	SERVICES	Бытовые услуги	O	ЖКХ, СМИ,реклама,культура,охрана, услуги для юр.и
53	Экстерриториальные организации	EXTRATERRITORIALITY	Others fields	Другие сферы	OTHER	Другая сфера деятельности	P	Экстерриториальные организации
