№	Общее название		Отп		Альфа		Почта						ОТП		Альфа		Почта		
23	Сканер	SCANNER	RGB_GOODS_CATEGORY_111	Принтеры/Факсы/Копиры/Сканеры	SCANNER	Сканеры	218	Копировальные, периферийные устройтсва и расходные материалы	.Компьютерная и орг техника										
24	Принтер	PRINTER	RGB_GOODS_CATEGORY_111	Принтеры/Факсы/Копиры/Сканеры	PRINTER	Принтеры	218	Копировальные, периферийные устройтсва и расходные материалы	.Компьютерная и орг техника								251	Отделочные материалы и лакокрасочные покрытия (краски, лаки, грунтовки, растворители, паркет, плинтуса, обои, плитка, ковровые покрытия и т.д.)	.Стройматериалы
25	Садовое оборудование	HORTICULTURAL_SUNDRY_ARTICLES	RGB_GOODS_CATEGORY_112	Садовое оборуд. и инвентарь	HORTICULTURAL_SUNDRY_ARTICLES	Предметы садового инвентаря	245	Газонокосилки, мини трактора, культиваторы, уборочная и мото техника	.Садовая и строительная техника						DMS_INSURANCE_SERVICE	Страховые услуги (ДМС)			
26	Отопительная техника	GAS_WATER_HEATER	RGB_GOODS_CATEGORY_137	Тепло/Водо/Газ. Оборудование	GAS_WATER_HEATER	Газовая колонка	244	Отопительное и газоболонное оборудование	.Садовая и строительная техника						BATTERY	Батарейки	254	Фонтаны декоративные, качели садовые, уличные фонари и другие предметы декоративного оформления участка	.Стройматериалы
27	Кондиционеры, системы очистки	AIR_CONDITIONER	RGB_GOODS_CATEGORY_113	Системы очистки/Кондиционеры	AIR_CONDITIONER	Кондиционер	210	Климатическое оборудование	.Бытовая техника				RGB_GOODS_CATEGORY_128	Спутниковые тарелки/антенны					
28	Стиральная машина	WASHING_MACHINE	RGB_GOODS_CATEGORY_114	Стиральные/Посудомоечн. машины	WASHING_MACHINE	Стиральные машины	209	Крупная бытовая техника	.Бытовая техника						BREAD_MACHINE	Хлебопечка	256	Коляски и кроватки, детские автокресла, манежи, качели	.Товары для детей
29	Посудомоечная машина	DISHWASHING_MACHINE	RGB_GOODS_CATEGORY_114	Стиральные/Посудомоечн. машины	DISHWASHING_MACHINE	Посудомоечные машины	209	Крупная бытовая техника	.Бытовая техника				RGB_GOODS_CATEGORY_130	Услуги	BREAD_MACHINE_1	Блинница	257	Игрушки	.Товары для детей
30	Холодильник	FRIDGE	RGB_GOODS_CATEGORY_131	Холодильники	FRIDGE	Холодильники	209	Крупная бытовая техника	.Бытовая техника						BREAD_MACHINE_2	Вафельница	258	Металлическая и тефлоновая посуда	.Товары для дома
31	Духовой шкаф	OVEN	RGB_GOODS_CATEGORY_133	Электр./газ. плиты	OVEN	Духовка	209	Крупная бытовая техника	.Бытовая техника				RGB_GOODS_CATEGORY_132	Швейные машинки и оверлоки			259	Бассейны и оборудование, фильтры	.Товары для дома
32	Газовая плита	GAS_COOKER	RGB_GOODS_CATEGORY_133	Электр./газ. плиты	GAS_COOKER	Газовые плиты	209	Крупная бытовая техника	.Бытовая техника						CABLE	Провода			
33	Варочная панель	COOKING_PANEL	RGB_GOODS_CATEGORY_133	Электр./газ. плиты	COOKING_PANEL	Варочные панели	209	Крупная бытовая техника	.Бытовая техника						CHARGER	Зарядные устройства	261	Товары для туризма: палатки, рюкзаки, спальные мешки, надувные матрасы и др.	.Товары для спорта
34	Фотокамера	DIGITAL_CAMERA	RGB_GOODS_CATEGORY_116	Фото/Видеокамеры/Комплектующие	DIGITAL_CAMERA	Цифровые фотоаппараты	212	Видеокамеры, Фотоаппараты, Видеопринтеры	.Видео и аудио техника						COFEE_MACHINE	Кофемашина			
35	Видеокамера	VIDEO_CAMERA	RGB_GOODS_CATEGORY_116	Фото/Видеокамеры/Комплектующие	VIDEO_CAMERA	Видеокамеры	212	Видеокамеры, Фотоаппараты, Видеопринтеры	.Видео и аудио техника				RGB_GOODS_CATEGORY_136	Детские товары			263	Велосипеды и аксессуары	.Товары для спорта
36	Стройматериалы	SERVICE_SUPPLIES	RGB_GOODS_CATEGORY_115	Стройматериалы/Инструменты	SERVICE_SUPPLIES	Расходные материалы	250	Строительные материалы(кирпич, стекло, цемент, щебень, песок, сруб, вагонка, доска) и ремонт	.Стройматериалы						CONCOMITANT_AUDIO_GOODS	Сопутствующие товары для аудиотехники			
37	Стройка	RENOVATION_SERVICES	RGB_GOODS_CATEGORY_144	Строительство домов/Зем.Уч.	RENOVATION_SERVICES	Строительные и ремонтные услуги	80	Стройка	.Стройматериалы						CONCOMITANT_CAR_GOODS	Сопутствующие товары для автомобилей	265	Кассовые аппараты, торговые витрины, стеллажи, прилавки	.Торговое оборудование
38	Ювелирное изделие	JEWELRY	RGB_GOODS_CATEGORY_117	Ювелирные изделия, часы	JEWELRY	Ювелирные изделия	275	Ювелирные изделия	Ювелирные изделия						CONCOMITANT_COMPUTER_GOODS	Сопутствующие компьютерные товары / аксессуары			
39	Охота и рыбалка	HUNTING_AND_FISHING	RGB_GOODS_CATEGORY_119	Охота и рыбалка	HUNTING_AND_FISHING	Товары для охоты и рыбалки	262	Товары для рыбной ловли ( лодки надувные, удочки, спиннинги, снасти, эхолоты, ледорубы и т.п.)	.Товары для спорта						CONCOMITANT_VIDEO_GOODS	Сопутствующие товары для видеотехники	267	Авиаперелеты и другие виды трансферта	.Туристические поездки
40	Унитаз	PANS	RGB_GOODS_CATEGORY_126	Сантехника	PANS	Унитазы	252	Сантехника (ванны, душевые кабины, водонагреватели, душевые колонки, радиаторы, смесители, унитазы, раковины и т.д.)	.Стройматериалы						COPY_MACHINE	Ксероксы / копировальные комплексы			
41	Ванна	BATH	RGB_GOODS_CATEGORY_126	Сантехника	BATH	Ванны	252	Сантехника (ванны, душевые кабины, водонагреватели, душевые колонки, радиаторы, смесители, унитазы, раковины и т.д.)	.Стройматериалы										
42	Водонагреватель	WATER_HEATER	RGB_GOODS_CATEGORY_137	Тепло/Водо/Газ. Оборудование	WATER_HEATER	Водонагреватель	252	Сантехника (ванны, душевые кабины, водонагреватели, душевые колонки, радиаторы, смесители, унитазы, раковины и т.д.)	.Стройматериалы										
43	Прочая сантехника	OTHER_SANITARY_ENGINEERING	RGB_GOODS_CATEGORY_126	Сантехника	OTHER_SANITARY_ENGINEERING	Прочая сантехника	252	Сантехника (ванны, душевые кабины, водонагреватели, душевые колонки, радиаторы, смесители, унитазы, раковины и т.д.)	.Стройматериалы						LUMBER	Пиломатериалы			
44	Верхняя одежда	OUTER_CLOTHING	RGB_GOODS_CATEGORY_141	Меха/Дубленки/Кожаные куртки	OUTHER_CLOTHING	Верхняя одежда	240	Верхняя одежда	.Одежда и обувь						CULTIVATOR	Культиваторы			
45	Меховые изделия	FUR_COAT	RGB_GOODS_CATEGORY_141	Меха/Дубленки/Кожаные куртки	FUR_COAT	Шуба / Полушубок / Иная меховая одежда	269	Меховые и кожанные изделия, шубы и дубленки	.Шубы и дубленки								270	Электротовары	.Электроинструмент и электротовары
46	Другая одежда	OTHER_CLOTHES	RGB_GOODS_CATEGORY_145	Одежда/Обувь/Сумки	OTHER_CLOTHES_AND_ACCESSORIES	Прочие предметы одежды и аксесуары (сумки, перчатки, ремки и т д)	239	Одежда	.Одежда и обувь										
47	Спортивная одежда	SPORT_CLOTHING	RGB_GOODS_CATEGORY_145	Одежда/Обувь/Сумки	SPORT_CLOTHING	Спортивная одежда / обувь	264	Спортивная форма и спортивный инвентарь	.Товары для спорта										
48	Сумки, аксессуары	ACCESSORIES	RGB_GOODS_CATEGORY_145	Одежда/Обувь/Сумки	OTHER_CLOTHES_AND_ACCESSORIES	Прочие предметы одежды и аксесуары (сумки, перчатки, ремки и т д)	205	Дорожные сумки, чемоданы	.Аксессуары								271	Электроиструменты	.Электроинструмент и электротовары
49	Обувь	SHOES	RGB_GOODS_CATEGORY_145	Одежда/Обувь/Сумки	SHOES	Обувь	238	Обувь	.Одежда и обувь						ELECTRIC_RANGE	Электрическая плита	272	Гарантия, доставка, подъем, настройка, установка, услуги связи	.Услуги
50	Туризм	TRAVEL_TOUR	RGB_GOODS_CATEGORY_120	Билеты и туры	TRAVEL_TOUR	Туристические поездки и туры	266	Туристические поездки и туры	.Туристические поездки						EQUALIZER	Эквалайзер			
51	Игровые приставки	GAME_DEVICE	RGB_GOODS_CATEGORY_121	Игровые приставки	GAME_DEVICE	Игровые приставки	222	Ноутбуки, планшеты, GPS-навигаторы, MP-3 плееры, КПК, игровые приставки	.Компьютерная и орг техника						FAN	Вентилятор			
52	Музыкальный инструмент	MUSICAL_INSTRUMENT	RGB_GOODS_CATEGORY_124	Музыкальные инструменты	MUSICAL_INSTRUMENT	Музыкальные инструменты	236	Музыкальные инструменты и аксессуары	.Музыкальные инструменты						FILTERS	Фильтры, в т.ч. водонагревательные			
53	Косметология	COSMETOLOGY	RGB_GOODS_CATEGORY_142	Медицинские услуги	MEDICAL_SERVICES	Медицинские услуги	304	Косметология	.Медицина						FREEZER	Морозильники			
54	Хирургия	SURGERY	RGB_GOODS_CATEGORY_143	Медицинские услуги	MEDICAL_SERVICES	Медицинские услуги	305	Хирургия	.Медицина										
55	Эндокринология	ENDOCRINOLOGY	RGB_GOODS_CATEGORY_144	Медицинские услуги	MEDICAL_SERVICES	Медицинские услуги	306	Эндокринология	.Медицина								202	Газоболонное оборудование для автомобилей	.Автомобильные запчасти и электроника
56	Урология	UROLOGY	RGB_GOODS_CATEGORY_145	Медицинские услуги	MEDICAL_SERVICES	Медицинские услуги	307	Урология	.Медицина										
57	Отоларингология	OTOLARYNGOLOGY	RGB_GOODS_CATEGORY_146	Медицинские услуги	MEDICAL_SERVICES	Медицинские услуги	308	Отоларингология	.Медицина								201	Противоугонные устройства	.Автомобильные запчасти и электроника
58	Гастроэнтерология	GASTROENTEROLOGY	RGB_GOODS_CATEGORY_147	Медицинские услуги	MEDICAL_SERVICES	Медицинские услуги	309	Гастроэнтерология	.Медицина						IRONING_BOARD	Гладильные доски			
59	Аллергология, иммунология	ALLERGOLOGY	RGB_GOODS_CATEGORY_148	Медицинские услуги	MEDICAL_SERVICES	Медицинские услуги	310	Аллергология, иммунология	.Медицина						JACK_ADAPTER	Переходники			
60	Стоматология	DENTIST	RGB_GOODS_CATEGORY_149	Медицинские услуги	MEDICAL_SERVICES	Медицинские услуги	300	Стоматология	.Медицина										
61	Гинекология	GYNECOLOGY	RGB_GOODS_CATEGORY_150	Медицинские услуги	MEDICAL_SERVICES	Медицинские услуги	301	Гинекология	.Медицина						LANTERN	Фонари и прочие осветительные уличные приборы	206	Бритвенные и маникюрные принадлежности, зонты	.Аксессуары
62	Терапия	THERPY	RGB_GOODS_CATEGORY_151	Медицинские услуги	MEDICAL_SERVICES	Медицинские услуги	302	Терапия	.Медицина						LAWN_MOWER	Газонокосилки	207	Наручные часы	.Аксессуары
63	Глазные болезни	EYE_DISEASES	RGB_GOODS_CATEGORY_152	Медицинские услуги	MEDICAL_SERVICES	Медицинские услуги	303	Глазные болезни	.Медицина										
64	Мелка бытовая техника	SMALL_HOME_TECHNICS	RGB_GOODS_CATEGORY_122	Мелкая бытовая техника	OTHER_SMALL_HOME_TECHNICS	Прочая мелкая бытовая техника	208	Мелкая бытовая техника	.Бытовая техника						MICROWAVE_OVEN	СВЧ	209	Крупная бытовая техника	.Бытовая техника
65	Пылесос	VACUUM_CLEANER	RGB_GOODS_CATEGORY_134	Пылесосы	VACUUM_CLEANER	Пылесосы, исключая моющие	208	Мелкая бытовая техника	.Бытовая техника						MINCING_MACHINE	Мясорубка			
66	Страховые услуги	INSURANCE_SERVICE	RGB_GOODS_CATEGORY_139	Страховые полисы	INSURANCE_SERVICE	Страховые услуги	65	Прочее	.Прочее						MINI_TRACTOR	Мини трактора	211	Спутниковые антенны и комплектующие	.Видео и аудио техника
67	Спортивный инвентарь	SPORTING_INVENTORY	RGB_GOODS_CATEGORY_127	Спорт инвентарь	SPORTING_INVENTORY	Спортивные товары (инвентарь)	260	Спортивные тренажеры	.Товары для спорта						MOBILE_PHONE_GARNITURE	Гарнитура к мобильным телефонам			
68	Образование	EDUCATION	RGB_GOODS_CATEGORY_138	Образовательные услуги	EDUCATION	Обучение	237	Обучение и автошколы	.Обучение										
69	Фитнес	FITNESS	RGB_GOODS_CATEGORY_140	Спортивные услуги	FITNESS	Фитнес	268	Фитнес	.Фитнес								214	Акустические системы и компоненты hi-fi	.Видео и аудио техника
70	Косметика	COSMETICS	RGB_GOODS_CATEGORY_135	Косметика	COSMETICS	Косметика	65	Прочее	.Прочее						OTHER_AUDIOTECHNICS	Прочая аудиотехника			
